Packet;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5;Channel 6
786753;-319503697;-317182293;-9236821;861798;22882193;28233459
786754;-5417787;-3233454;-9234389;829614;22848247;75752533
786755;287908770;279941580;-9249651;835925;22867754;31225297
786756;-448979067;-442198933;-9233143;852778;22856733;72496755
786757;320029563;315683660;-9207581;853337;22876339;34719232
786758;-51680452;-54750408;-9271650;832503;22848874;68747822
786759;-284888657;-278690709;-9236569;855355;22865809;38709230
786760;423050026;414583082;-9241416;845371;22866875;64590468
786761;-364174830;-360775552;-9243097;858363;22864780;43006442
786762;62656541;63611596;-9239458;829589;22850461;60173956
786763;234513629;227142242;-9249152;844979;22862574;47550340
786764;-440057557;-432983428;-9247240;858333;22836497;55571929
786765;360554389;355138803;-9250653;853862;22860305;52205512
786766;-118996428;-120860450;-9276983;855061;22856059;50884612
786767;-228393966;-222879552;-9238809;860505;22868445;56869341
786768;408883426;400209587;-9254173;839223;22851571;46254259
786769;-400295001;-395889126;-9246801;866436;22878203;61474235
786770;128930935;128652360;-9226252;867660;22861610;41766553
786771;175155063;168524497;-9275660;842542;22851993;65826747
786772;-420714730;-413511534;-9244748;839974;22836795;37548462
786773;392004270;385658820;-9263470;831496;22823948;69844339
786774;-183711048;-184325533;-9249664;859784;22843323;33716825
786775;-166636445;-161961309;-9246301;845632;22833160;73463889
786776;384459626;375757277;-9242752;869094;22859886;30322602
786777;-426993220;-421698359;-9245427;859046;22866803;76615168
786778;191713557;190198583;-9245806;847133;22839389;27500859
786779;111224230;105520298;-9247974;868497;22865745;79147259
786780;-391390980;-384253700;-9237683;866931;22861529;25266551
786781;413680844;406516966;-9244544;865143;22860194;81020206
786782;-244223773;-243590600;-9237585;868569;22865011;23702203
786783;-101029435;-97331980;-9243345;846702;22854894;82233638
786784;350483298;341934310;-9249399;847274;22861243;22857723
786785;-443560320;-437535876;-9246574;845593;22864917;82759965
786786;249603980;246853546;-9248721;846165;22840627;22727923
786787;44322018;39630754;-9273267;850103;22849425;82498150
786788;-352922009;-346043677;-9248567;869892;22843520;23336891
786789;425033122;417178542;-9240789;871257;22844893;81522483
786790;-299053469;-297244539;-9255496;855364;22858752;24658491
786791;-33255257;-30645290;-9253388;837909;22848793;79843980
786792;307663180;299472081;-9259810;865587;22874572;26656772
786793;-449597201;-443022779;-9247372;849335;22851840;77546705
786794;301155537;297242103;-9235306;855150;22861939;29258905
786795;-23880012;-27443601;-9252599;852552;22867626;74637081
786796;-306098726;-299653017;-9268010;812505;22834892;32490397
786797;425754794;417482248;-9236356;870434;22882585;71160891
786798;-346969868;-344014583;-9228091;878242;22886784;36196104
786799;35022229;36477883;-9233454;841075;22857655;67252420
786800;257063897;249420488;-9235630;850005;22859016;40268889
786801;-444961177;-437987238;-9222370;854886;22865113;63033326
786802;345119065;340114730;-9247125;835899;22859165;44677853
786803;-91787012;-94146393;-9261397;855714;22859357;58508471
786804;-252138521;-246316484;-9234837;871270;22871163;49267639
786805;415866363;407254314;-9254092;844347;22848768;53839027
786806;-386673949;-382670331;-9236979;860885;22886323;53949956
786807;102222037;102447598;-9247342;844373;22842325;49171532
786808;199951492;192998237;-9251370;839534;22853410;58596232
786809;-429838519;-422659281;-9234163;851221;22856486;44595016
786810;380315426;374314858;-9254924;835797;22851387;63091972
786811;-157762935;-158920610;-9246890;856759;22856021;40196492
786812;-192295278;-187276083;-9257369;836787;22853043;67352759
786813;395626397;386908765;-9230498;867392;22867746;36070771
786814;-417319756;-412365218;-9255931;853836;22870382;71252305
786815;166601062;165603682;-9234500;858073;22856089;32390702
786816;137693060;131603686;-9257254;853371;22870894;74684147
786817;-404494702;-397321595;-9251857;834397;22850683;29233006
786818;406056136;399214630;-9232396;858218;22866112;77598583
786819;-220179050;-220035042;-9254728;859161;22851916;26598634
786820;-128150523;-124018982;-9245435;828330;22841565;79875660
786821;365433053;356815283;-9224042;866743;22895765;24593450
786822;-438037102;-432302570;-9249557;840576;22866018;81578560
786823;226654391;224423210;-9237149;850227;22854199;23310173
786824;71820492;66717875;-9264392;838067;22828578;82518702
786825;-369673557;-362664529;-9226858;863769;22831837;22753126
786826;421672631;414104776;-9213900;875797;22875835;82734374
786827;-277469832;-276130257;-9259635;842713;22828108;22883925
786828;-61031837;-57969480;-9217250;857587;22846971;82236027
786829;326140923;317777689;-9250705;848686;22850794;23744089
786830;-448383569;-441996411;-9248691;834901;22826641;81029879
786831;280995596;277568098;-9230843;855931;22850692;25311048
786832;3979289;-32371;-9264494;856640;22827217;79082308
786833;-326088051;-319436936;-9240302;864776;22834722;27531234
786834;426749094;418621235;-9241757;859950;22831351;76516407
786835;-328353745;-325831108;-9258508;857949;22841638;30424200
786836;7242956;9178534;-9242022;865608;22841907;73410820
786837;278551534;270670058;-9252245;858180;22876919;33796292
786838;-448133516;-441317632;-9250850;830139;22839756;69768721
786839;328123072;323560166;-9220919;865527;22859584;37637277
786840;-64288452;-67132023;-9269137;835515;22821580;65730880
786841;-274912614;-268809753;-9229380;878297;22859481;41889305
786842;421170636;412681305;-9253986;867584;22838873;61372300
786843;-371543496;-367938389;-9243212;867946;22854549;46374365
786844;75096140;75838156;-9240669;866304;22848934;56783718
786845;223963635;216728541;-9259690;852834;22838835;50993753
786846;-437259217;-430116620;-9216947;886007;22866419;52109964
786847;367080238;361473245;-9248546;848290;22859123;55662741
786848;-131220936;-132857885;-9229013;876292;22870519;47459392
786849;-217294818;-211916834;-9221580;859127;22851434;60285218
786850;405105476;396425962;-9240209;879219;22852083;42916608
786851;-405976524;-401392516;-9239027;882653;22877384;64738141
786852;140825988;140328768;-9241642;852292;22836646;38642875
786853;163599270;157146065;-9240311;868275;22859089;68853760
786854;-416005742;-408795643;-9223782;873271;22840349;34697890
786855;396783790;390268228;-9226406;871982;22836224;72567667
786856;-195211763;-195597512;-9267396;850380;22807210;31167735
786857;-154715148;-150213747;-9227694;873591;22828023;75830690
786858;378897749;370215112;-9265762;853781;22811784;28171191
786859;-430808004;-425368977;-9268902;845422;22812522;78533922
786860;202873591;201151658;-9219234;890043;22860544;25772454
786861;99023347;93494668;-9250952;874188;22834935;80606327
786862;-384955127;-377845030;-9231257;858534;22828407;24056541
786863;416565636;409276036;-9238003;868334;22841911;81976810
786864;-254842568;-253983978;-9277661;857339;22824964;23011144
786865;-88638967;-85122478;-9233399;856665;22839872;82678314
786866;343133077;334661009;-9251673;856785;22815701;22686481
786867;-445485175;-439334203;-9255863;858218;22813700;82663074
786868;259643084;256717760;-9218432;870792;22843225;23102336
786869;31776537;27311590;-9247697;850513;22834867;81864179
786870;-344821751;-338011400;-9217911;862698;22833070;24261781
786871;425972633;418037269;-9234005;869226;22834756;80365320
786872;-308513809;-306465237;-9264256;858026;22837491;26076245
786873;-20643221;-18213781;-9221077;870510;22840477;78223278
786874;298852608;290771118;-9249053;861166;22822062;28549171
786875;-449494331;-442824064;-9238067;863782;22837269;75486195
